,name,code,Large,Medium,Micro,Small
2009,A,Exports to Net Sales,47.33927914229188,8.172752158224279,3.9811256630593963,5.306304968028356
2010,A,Exports to Net Sales,45.50410649698998,7.291734627862821,1.8507344564797246,4.871050692138638
2011,A,Exports to Net Sales,35.269855358011434,6.978439235051049,1.3391198461441445,4.416524967252519
2012,A,Exports to Net Sales,34.25881246327422,6.736178077320538,3.0588265717692145,2.4946169978100055
2013,A,Exports to Net Sales,36.54797534986554,8.35065650760389,2.282277034037341,3.674370426279732
2014,A,Exports to Net Sales,32.673463503286506,6.196041385383981,2.010721130393047,3.6419951805661266
2015,A,Exports to Net Sales,30.652679076551365,3.9903616817037926,1.5460716151170835,3.9531506587651957
2016,A,Exports to Net Sales,24.8795023245835,4.316864155990654,2.870385825092058,3.7802068782193277
2017,A,Exports to Net Sales,17.073145441078594,7.627351896933711,1.9171853360114781,3.702580338970223
2018,A,Exports to Net Sales,32.13747601603088,11.555780164947404,3.0382193648147244,5.76896408126684
2019,A,Exports to Net Sales,35.05985572001402,9.37133252192226,3.236174712835085,5.87051247415464
2020,A,Exports to Net Sales,28.632901621927704,7.11293417136678,4.461388974884968,5.494803302924182
2009,A,Diff Gr. NS and Gr. VC,,,,
2010,A,Diff Gr. NS and Gr. VC,-7.525013695881945,-8.634727450690626,-0.7222402367308653,1.233004617821031
2011,A,Diff Gr. NS and Gr. VC,-4.624246419862811,-1.7454145364904576,-0.33620251650323674,-0.8900379190696306
2012,A,Diff Gr. NS and Gr. VC,-0.02660295742260743,-1.1623324915026814,-0.4731005083799422,-0.5189635858375397
2013,A,Diff Gr. NS and Gr. VC,-2.6689795883081513,0.2443186107478077,2.361663222592325,-0.33981924964056986
2014,A,Diff Gr. NS and Gr. VC,-11.076452545805182,2.0914927439379625,1.0013547549333257,0.36553950078881314
2015,A,Diff Gr. NS and Gr. VC,0.19803518766383732,-0.25384915055373014,-2.828713806895667,0.3256862780115064
2016,A,Diff Gr. NS and Gr. VC,-1.0810271414052757,-2.2645609866729792,1.9900762734856303,-1.0961585179228397
2017,A,Diff Gr. NS and Gr. VC,3.1365768286301545,0.655386791470324,1.9670179054852799,1.5689276380723491
2018,A,Diff Gr. NS and Gr. VC,1.7433885999766705,3.289348683898254,-6.964948193981343,-2.0697315577397433
2019,A,Diff Gr. NS and Gr. VC,2.256176005401869,-3.1298469597740066,-2.9086571257324962,-1.4833572409411104
2020,A,Diff Gr. NS and Gr. VC,,,,
2009,A,Operational Profit to Net Sales,17.91987118346862,7.185165612286067,-1.331702103291754,2.0600045306162005
2010,A,Operational Profit to Net Sales,14.884956215982914,4.525873401783708,-1.9205207894197354,2.2240836594385964
2011,A,Operational Profit to Net Sales,11.843095685385846,5.20870826647564,-3.5310061885702284,1.3195077762411613
2012,A,Operational Profit to Net Sales,12.781465066610165,4.162906863178427,-4.672568997193498,0.648250351548403
2013,A,Operational Profit to Net Sales,10.068771559797018,4.149775812552544,-3.7874286987757575,1.6091246325274704
2014,A,Operational Profit to Net Sales,7.829695753195115,5.646445807178018,-4.209793564795071,2.4080956222880605
2015,A,Operational Profit to Net Sales,7.63605429859793,5.555983119053794,-4.718044846893401,2.5111042744550596
2016,A,Operational Profit to Net Sales,7.736977153299675,4.046724778951534,-6.419130745264884,1.3656447838766117
2017,A,Operational Profit to Net Sales,10.222109094913577,4.448081558455614,-5.781138327331007,2.0730375430790633
2018,A,Operational Profit to Net Sales,10.612211376375473,6.456159090792234,-2.111814314806969,3.294017564233201
2019,A,Operational Profit to Net Sales,12.880440885661681,4.584911212140037,-2.676368978804675,1.8526173289002812
2020,A,Operational Profit to Net Sales,11.807610608727048,4.978240329460438,-2.8325497975011515,3.009391244139396
2009,A,Exchange Proportion of Other Profit,65.68488290888739,71.35838453314044,17.525616438828802,41.30599854962695
2010,A,Exchange Proportion of Other Profit,52.0752544931811,68.61315910503932,19.82035633221962,41.63267639998412
2011,A,Exchange Proportion of Other Profit,74.86712766065541,61.750497328586164,41.22007750163307,46.275948165194976
2012,A,Exchange Proportion of Other Profit,71.40516528546316,28.58884068570698,11.360050144441807,16.489933718142716
2013,A,Exchange Proportion of Other Profit,41.93438787448764,42.176294856991625,17.60706128864084,20.598798986430253
2014,A,Exchange Proportion of Other Profit,47.29299787411135,55.728166847242946,11.419194985494824,26.459474559399194
2015,A,Exchange Proportion of Other Profit,63.03762730496639,41.74437852687608,20.318939598950458,39.52520949818277
2016,A,Exchange Proportion of Other Profit,48.23643531260042,58.78541778733155,23.358977745956732,27.87098319302258
2017,A,Exchange Proportion of Other Profit,52.26752830446745,46.893440284213895,17.03168627171413,41.622747073083474
2018,A,Exchange Proportion of Other Profit,71.19482821783778,78.1192703728496,62.441482078402764,65.57005000526597
2019,A,Exchange Proportion of Other Profit,75.90851756656218,65.23767543209686,24.549586910505035,35.48033931408826
2020,A,Exchange Proportion of Other Profit,72.50556510107462,67.60588931367573,41.31599143793741,52.0307852553589
2009,A,Exchange Proportion of Other Losses,52.620660449530085,62.854901252780806,36.7466733465023,53.382868182736864
2010,A,Exchange Proportion of Other Losses,46.41591696639124,83.8166926135819,58.797499194782965,55.25709856653446
2011,A,Exchange Proportion of Other Losses,86.73658479861061,92.35169719370062,72.57278643086308,57.19807796533296
2012,A,Exchange Proportion of Other Losses,72.82754011457378,54.811814077462905,35.49562368994681,40.97967404284145
2013,A,Exchange Proportion of Other Losses,61.6356470251476,85.93991892251222,34.45709089037786,52.77305288563326
2014,A,Exchange Proportion of Other Losses,57.84342918911205,75.07531092259663,19.417888038538184,52.831674456510534
2015,A,Exchange Proportion of Other Losses,69.54582497630454,79.41589196884618,53.68467616426279,54.63744549636992
2016,A,Exchange Proportion of Other Losses,67.63307921134843,76.00141178664738,62.752691515715895,67.06654989272472
2017,A,Exchange Proportion of Other Losses,66.91232467422661,73.85442421213601,60.62296080556748,73.368818239252
2018,A,Exchange Proportion of Other Losses,83.0332308122722,87.83741677599356,86.65352841166325,81.43535288723287
2019,A,Exchange Proportion of Other Losses,85.39855469255309,79.12222211279666,82.87324657464839,72.76705686277565
2020,A,Exchange Proportion of Other Losses,85.8443856429314,77.58874092128495,81.13747665119739,79.38317752394538
2009,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,4951.8200099999995,5021.34446,4751.60791,2445.6489
2010,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,16547.75705,7366.787620000001,7029.35429,2164.59244
2011,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,14798.005099999998,8491.16785,8147.601790000001,3879.40694
2012,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,8508.33233,45186.88729,9009.30402,16495.23945
2013,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,21068.90416,38096.0661,9791.76728,13951.00555
2014,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,37999.89853,23027.61584,16093.435819999999,12091.11457
2015,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,14506.50625,58964.02282,31728.290820000002,11768.965
2016,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,129539.85794,35667.4971,28834.298820000004,23989.6918
2017,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,125365.54450999998,29519.57153,33006.31487,17399.85196
2018,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,107991.61979,57341.05209,51270.66170999999,44654.446970000005
2019,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,74035.44548,45756.16231,175746.09979,124891.87359
2020,A,Sum of Dividends from Participations and Affilliated Enterprises and Interest Income,83709.961,50275.539000000004,64730.652,40385.843
2009,A,Net Income From Other Operations to Net Sales,0.09723063214994927,-0.8970774870714576,1.493894618320111,0.14205233072356963
2010,A,Net Income From Other Operations to Net Sales,3.744614961897296,0.9618516137306882,1.4516256274911388,0.29035276154474815
2011,A,Net Income From Other Operations to Net Sales,3.466174081535484,-1.2608077403047921,1.2784350314666242,0.0941576389697516
2012,A,Net Income From Other Operations to Net Sales,2.7229354471785894,1.5586926761076454,1.6988245211160151,0.9310556698810658
2013,A,Net Income From Other Operations to Net Sales,1.8347150082255286,-0.24259681336246366,1.3395944587714896,0.4138281604523838
2014,A,Net Income From Other Operations to Net Sales,1.265849873816137,0.49724938881155295,2.21672762358407,0.6358036897406721
2015,A,Net Income From Other Operations to Net Sales,-0.19125491511997855,0.733025225662549,3.5748327169119203,0.3807332540137257
2016,A,Net Income From Other Operations to Net Sales,3.032846454678389,0.30195608408869423,3.934855532689348,0.49690880215558986
2017,A,Net Income From Other Operations to Net Sales,1.6550741684313166,0.2879502883159552,5.623073831104419,0.5884418783609439
2018,A,Net Income From Other Operations to Net Sales,2.858317369615631,-0.0806372345975119,3.3642693336185476,-0.0032432968296113108
2019,A,Net Income From Other Operations to Net Sales,0.7914544171400877,0.21235241162886587,5.3938394839603445,1.024370656101366
2020,A,Net Income From Other Operations to Net Sales,0.920038893528828,0.7617508866308018,2.130435593479628,1.004304801211683
2009,A,Net Income From Other Operations Except Dividends and Interest Income,121016.11798999869,-949381.7504600006,1435509.1380900003,267350.1681000001
2010,A,Net Income From Other Operations Except Dividends and Interest Income,5745528.5699499985,1482199.9643799986,1623625.3787100003,647219.4385600003
2011,A,Net Income From Other Operations Except Dividends and Interest Income,6564399.295899999,-3368648.28185,1521875.4552099998,242141.50906000024
2012,A,Net Income From Other Operations Except Dividends and Interest Income,6448400.372670001,5075486.827709998,2162132.51498,2825746.15955
2013,A,Net Income From Other Operations Except Dividends and Interest Income,4291289.031839999,-916728.9161000003,1785564.9267199975,1874760.94845
